StartDate,EndDate,ResponseType,IPAddress,Progress,Duration,Finished,RecordedDate,ResponseID,Latitude,Longitude,Channel,Language,HairLength,DryingTime,ScalpNumber ,FlakesFrequency,HairType,ProductStyling,HairProblem,ScalpfeelWash,Strand,HairGreyed ,HairTreatmentChemeical,HairTreatment,ProductSmell,Races,AgeRange,Countries,Sex,ZipCode,Porosity,target_1,target
10/13/2020 10:12,10/13/2020 10:15,IP Address,172.58.109.119,100,201,TRUE,10/13/2020 10:15,R_10YjaPAZ1Z7gC3M,32.73190308,-96.90570068,anonymous,EN,Mid-back or longer,1-2 hours,Some of my scalp.,Sometimes,3a,"Styling Cream,Mousse,Custard,Oil","Hair Growth,Thinning,Split Ends,Breakage,Rough/Dry Hair",Combination,Thick and noticeable.,None at all,,Rarely,Fruity,Arab or Middle Eastern,18-24,Palestine,Female,75061,Medium,curly_Medium,1
10/13/2020 10:13,10/13/2020 10:16,IP Address,172.58.111.163,100,199,TRUE,10/13/2020 10:16,R_2amN5coLhXx6MxE,32.89639282,-96.8635025,anonymous,EN,Shoulder length,Just a few minutes out of the shower,I have no problem seeing my scalp.,Rarely,2b,Custard,"Thinning,Too Little Volume,Dull hair strands,Oily Scalp",Combination,Thin and bendable.,None at all,Chemical Straightening (Relaxer),Once or twice a year,Floral,Arab or Middle Eastern,18-24,Egypt,Female,75063,Low,wavy_Low,5
10/13/2020 10:20,10/13/2020 10:28,IP Address,68.249.0.5,100,450,TRUE,10/13/2020 10:28,R_3jUkyPmhmLOjIwn,32.92599487,-96.96659851,anonymous,EN,Mid-back or longer,1-2 hours,I have no problem seeing my scalp.,Weekly,3b,"Styling Cream,Custard,Oil","Hair Growth,Frizz,Dandruff,Dull hair strands,Rough/Dry Hair",Combination,Thick and noticeable.,None at all,,Every few months,Floral,Arab or Middle Eastern,18-24,Egypt,Female,75063,Medium,curly_Medium,1
10/13/2020 11:57,10/13/2020 12:00,IP Address,172.56.6.149,100,218,TRUE,10/13/2020 12:00,R_2q30HZ10txXKRLJ,30.42930603,-97.72070313,anonymous,EN,Armpit length,1-2 hours,I have no problem seeing my scalp.,Sometimes,3c,Styling Cream,"Thinning,Frizz,Too Little Volume,Dry Scalp,Chemical and Heat Damage",Combination,Thin and bendable.,None at all,Keratin Treatment,Monthly,Fruity,Arab or Middle Eastern,18-24,Jordan,Female,76137,Medium,curly_Medium,1
10/18/2020 9:50,10/18/2020 9:53,IP Address,47.187.113.212,100,156,TRUE,10/18/2020 9:53,R_23gciUOg3y0bRVi,32.96099854,-96.98410034,anonymous,EN,Mid-back or longer,1-2 hours,Some of my scalp.,Daily,3c,Styling Cream,"Hair Growth,Dry Scalp,Dandruff,Breakage,Dull hair strands",Combination,Thick and noticeable.,None at all,,Rarely,Fruity,Arab or Middle Eastern,18-24,Egypt,Female,75019,Medium,curly_Medium,1
10/18/2020 10:58,10/18/2020 11:02,IP Address,47.187.109.211,100,235,TRUE,10/18/2020 11:02,R_8hNjNPOoXxTCYDL,32.96099854,-96.98410034,anonymous,EN,Armpit length,1-2 hours,Some of my scalp.,Rarely,2c,Styling Cream,"Frizz,Split Ends,Chemical and Heat Damage",Dry,Thin and bendable.,None at all,Chemical Straightening (Relaxer),Monthly,Floral,Arab or Middle Eastern,18-24,Egypt,Female,75019,Medium,wavy_Medium,4
10/18/2020 11:35,10/18/2020 11:38,IP Address,70.236.195.228,100,160,TRUE,10/18/2020 11:38,R_2ZBUgyIteS0Q2rd,33.13710022,-96.74880219,anonymous,EN,Mid-back or longer,"A pretty long time, may be damp the whole day.",Some of my scalp.,Sometimes,3c,"Gel,Styling Cream","Hair Growth,Frizz,Split Ends,Breakage,Rough/Dry Hair",Balanced,Thick and noticeable.,None at all,,Once or twice a year,Fresh,Arab or Middle Eastern,18-24,Egypt,Female,75035,High,curly_High,0
10/18/2020 11:42,10/18/2020 11:46,IP Address,70.121.24.12,100,255,TRUE,10/18/2020 11:46,R_3qmuwavgh45Z5pT,33.1493988,-96.82800293,anonymous,EN,Mid-back or longer,Just a few minutes out of the shower,Some of my scalp.,Daily,3a,"Gel,Styling Cream","Frizz,Dry Scalp,Dandruff,Dull hair strands,Rough/Dry Hair",Dry,Thick and noticeable.,None at all,,Once or twice a year,Fruity,Arab or Middle Eastern,18-24,Palestine,Female,75035,Low,curly_Low,2
10/18/2020 12:21,10/18/2020 12:25,IP Address,185.192.69.26,100,258,TRUE,10/18/2020 12:25,R_2WvhA3eVxiiPxs4,51.5164032,-0.093002319,anonymous,EN,Above the ear or shoulder,Just a few minutes out of the shower,Very little of my scalp if any.,Sometimes,2a,"None of these, I prefer...","Too Much Volume,Dandruff,Oily Scalp",Oily,Thin and bendable.,About half of my hair,,Rarely,Fresh,Arab or Middle Eastern,55-64,Egypt,Male,75019,Low,wavy_Low,5
10/18/2020 16:12,10/18/2020 16:16,IP Address,45.29.42.206,100,203,TRUE,10/18/2020 16:16,R_1EZCAd8ORpRAA70,32.86459351,-96.78839874,anonymous,EN,Shoulder length,"A pretty long time, may be damp the whole day.",Some of my scalp.,Sometimes,3b,"Gel,Styling Cream","Thinning,Frizz,Split Ends,Breakage,Rough/Dry Hair",Combination,Thick and noticeable.,None at all,"Chemical Straightening (Relaxer),Keratin Treatment",Rarely,Fresh,Arab or Middle Eastern,18-24,Egypt,Female,75229,High,curly_High,0
